Titulo;Relator;Data de publicação;Data de julgamento;Órgão julgador;Ementa
HC 118459 AgR;RICARDO LEWANDOWSKI;27/02/2014;24/10/2013;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. WRIT IMPETRADO CONTRA ATO DA PRIMEIRA TURMA DO SUPREMO TRIBUNAL FEDERAL. NÃO CABIMENTO. PRECEDENTES DO STF. AGRAVO REGIMENTAL NÃO PROVIDO.    I – Esta Corte já firmou jurisprudência no sentido de não caber habeas corpus contra ato de Ministro Relator, de Turma ou do próprio Tribunal Pleno. Precedentes.    II - Os reiterados julgados nessa mesma esteira resultaram na edição da Súmula 606. Eis o teor do mencionado verbete: “Não cabe habeas corpus originário para o Tribunal Pleno de decisão de Turma, ou do Plenário, proferida em habeas corpus ou no respectivo recurso”.    III - Agravo regimental em habeas corpus não provido.
HC 118037 AgR;RICARDO LEWANDOWSKI;28/02/2014;24/10/2013;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. WRIT IMPETRADO CONTRA ATO DA PRIMEIRA TURMA DO SUPREMO TRIBUNAL FEDERAL. NÃO CABIMENTO. PRECEDENTES DO STF. AGRAVO REGIMENTAL NÃO PROVIDO.    I – Esta Corte já firmou jurisprudência no sentido de não caber habeas corpus contra ato de Ministro Relator, de Turma ou do próprio Tribunal Pleno. Precedentes.    II - Os reiterados julgados nessa mesma esteira resultaram na edição da Súmula 606. Eis o teor do mencionado verbete: “Não cabe habeas corpus originário para o Tribunal Pleno de decisão de Turma, ou do Plenário, proferida em habeas corpus ou no respectivo recurso”.    III - Agravo regimental em habeas corpus não provido.
HC 115774 AgR;LUIZ FUX;18/11/2013;24/10/2013;Tribunal Pleno;"Ementa: AGRAVO REGIMENTAL NO HABEAS CORPUS. IMPETRAÇÃO CONTRA ATO DO PLENO DO SUPREMO TRIBUNAL FEDERAL. WRIT MANIFESTAMENTE INCABÍVEL. SÚMULA 606/STF. PRECEDENTES. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. O habeas corpus é incabível quando impetrado em face de ato dos Ministros do Supremo Tribunal Federal, de órgão fracionário da Corte ou de seu Pleno. Precedentes: (HC 86.548/SP, Rel. Min. Cezar Peluso, Pleno, DJe 19/12/2008; HC 84.444/CE-AgR, Rel. Min. Celso de Mello, Pleno, DJ 14/9/2007; HC 91.352/SP, Rel. Min. Menezes Direito, Pleno, DJe 18/4/08; HC 113.204-AgR/DF, Rel. Min. Dias Toffoli, Pleno, DJe 28/02/2013).    2. In casu, a impetração atribui ao Pleno do Supremo Tribunal Federal constrangimento ilegal em razão de ameaça ao status libertatis dos réus condenados na Ação Penal 470 (“Caso do Mensalão”).     3. A impetração é manifestamente incabível, consoante o enunciando da Súmula 606/STF, verbis: “Não cabe habeas corpus originário para o Tribunal Pleno de decisão de Turma, ou do Plenário, proferida em habeas corpus ou no respectivo recurso”.    4. Agravo regimental a que se nega provimento."
HC 115468 AgR-AgR;JOAQUIM BARBOSA (Presidente);19/11/2013;24/10/2013;Tribunal Pleno;Ementa: Agravo regimental no agravo regimental em habeas corpus. Despacho que reconhece a existência, ou não, de prevenção a determinado ministro para relatoria de processos. Inexistência de lesividade ao interesse das partes. Manutenção das circunstâncias fáticas. Decisão agravada fundamentada na jurisprudência desta Corte. Agravo não conhecido.    O despacho do Presidente do Supremo Tribunal Federal que reconhece a existência, ou não, de prevenção a determinado Ministro para relatoria de processos, em respeito às normas regimentais de organização interna e à legislação processual, não possui conteúdo capaz de lesar direito da parte.    Ademais, é inviável o agravo regimental que não impugna todos os fundamentos da decisão agravada e se limita a reiterar os argumentos apresentados anteriormente, os quais foram oportunamente apreciados nos estritos limites legais e regimentais das atribuições conferidas ao Presidente. Precedentes.    Agravo regimental não conhecido.
HC 105674;MARCO AURÉLIO;20/02/2014;17/10/2013;Tribunal Pleno;CIRCUNSTÂNCIAS JUDICIAIS – CULPABILIDADE – ARTIGO 59 DO CÓDIGO PENAL – INCONSTITUCIONALIDADE INEXISTENTE. A tomada da culpabilidade como circunstância judicial atende ao critério constitucional da individualização da pena, chegando à definição da maior ou menor participação do agente.     HABEAS CORPUS – DOSIMETRIA DA PENA – JUSTIÇA VERSUS ILEGALIDADE. De regra, a pena é fixada sob o ângulo do justo ou do injusto, não cabendo generalizar o instituto da ilegalidade. Surgindo das premissas da decisão proferida o atendimento ao princípio da razoabilidade, considerada a espécie proporcionalidade, há a improcedência da impetração.
HC 119056 QO;CÁRMEN LÚCIA;12/12/2013;03/10/2013;Tribunal Pleno;EMENTA: QUESTÃO DE ORDEM EM HABEAS CORPUS PREVENTIVO. CONSTITUCIONAL. INCOMPETÊNCIA DO SUPREMO TRIBUNAL FEDERAL. HABEAS CORPUS IMPETRADO CONTRA AMEAÇA DE ATO DE DELEGADO DA POLÍCIA FEDERAL.     1. A competência do Supremo Tribunal Federal para julgar habeas corpus é determinada constitucionalmente em razão do Paciente ou da Autoridade Coatora (art. 102, inc. I, alínea i, da Constituição da República).    2. Questão de ordem resolvida no sentido de reconhecer a incompetência do Supremo Tribunal Federal para processar e julgar o habeas corpus n. 119056-DF, determinando a remessa dos autos a uma das Varas Federais da Seção Judiciária do Distrito Federal.
HC 116659;MARCO AURÉLIO;16/10/2013;19/09/2013;Tribunal Pleno;HABEAS CORPUS – PERDA DE OBJETO. Ultimada a extradição, há o prejuízo de habeas voltado ao afastamento da prisão cautelar.
HC 112982;MARCO AURÉLIO;17/10/2013;19/09/2013;Tribunal Pleno;HABEAS CORPUS – PREJUÍZO. Uma vez alcançada a providência pleiteada na impetração, dá-se o prejuízo.
HC 94869;RICARDO LEWANDOWSKI;07/04/2014;26/06/2013;Tribunal Pleno;Ementa: PROCESSUAL PENAL. HABEAS CORPUS. DESARQUIVAMENTO E REABERTURA DE INQUÉRITO POLICIAL. PRAZO PRESCRICIONAL. AUSÊNCIA DE MARCO INTERRUPTIVO DESDE A DATA DOS FATOS QUE ENSEJARAM A INSTAURAÇÃO DO INQUÉRITO. EXTINÇÃO DA PUNIBILIDADE. PRESCRIÇÃO.     I – Os fatos que deram causa à instauração do inquérito policial, cuja finalidade é apurar a prática do crime de tráfico de influência (art. 332 do CP), ocorreram em 10/1/2000, data em que foi firmado o contrato 007/00 entre a EMBRASC e a CEDAE.    II – Considerando-se que a pena máxima imposta para o crime previsto no art. 332 do Código Penal é de 5 anos, a prescrição, nos termos do art. 109, III, do CP, verifica-se em 12 anos.     III – Saliente-se, ainda, que o paciente completou 70 anos em 11/10/2011, o que determina a redução do prazo à metade.    IV – A Secretaria da 5º Vara Federal Criminal do Rio de Janeiro informou que os autos do inquérito em questão foram remetidos ao Ministério Público para diligência, em 4/7/2012, de onde não retornaram ainda.    V – Não tendo ocorrido nenhum marco interruptivo do curso do prazo prescricional desde a data dos fatos, deve-se declarar a extinção da punibilidade do paciente pela prescrição da pretensão punitiva estatal (art. 107, IV, do CP).
HC 114127;MARCO AURÉLIO;21/06/2013;06/06/2013;Tribunal Pleno;HABEAS CORPUS – PERDA DE OBJETO – PREJUÍZO. Uma vez alcançada a providência buscada com a impetração, há o prejuízo desta.
HC 113204 AgR-ED;DIAS TOFFOLI;01/08/2013;16/05/2013;Tribunal Pleno;EMENTA    Embargos de declaração em agravo regimental em habeas corpus. Omissão, contradição ou obscuridade do acórdão. Não ocorrência. Embargos rejeitados.     1. O aresto embargado não incorreu em omissão, tendo a Turma decidido, fundamentadamente, todas as questões postas em julgamento, nos limites necessários ao deslinde do feito. Da mesma forma, a decisão não é obscura, pois não faltam a ela clareza nem certeza quanto ao que foi decidido. A embargante pretende, efetivamente, rediscutir o deslinde da causa, fim a que não se prestam os embargos declaratórios.     2. As questões trazidas nos presentes embargos foram suficientemente analisadas pela Primeira Turma e rechaçadas no julgado embargado, tendo o Colegiado, por maioria, negado provimento ao regimental, entendendo não haver qualquer mácula na decisão do Superior Tribunal de Justiça.     3. Embargos rejeitados.
HC 104098;MARCO AURÉLIO;31/05/2013;16/05/2013;Tribunal Pleno;HABEAS CORPUS – PERDA DE OBJETO – PREJUÍZO. Uma vez ocorrida a perda de objeto do habeas corpus, impõe-se o reconhecimento do prejuízo, descabendo redirecioná-lo.
HC 97009;MARCO AURÉLIO;04/04/2014;25/04/2013;Tribunal Pleno;Ementa: HABEAS CORPUS. DECISÃO DE MINISTRO RELATOR DO SUPREMO TRIBUNAL FEDERAL. NÃO CABIMENTO. SÚMULA 606. DECISÃO IMPUGNÁVEL POR MEIO DE AGRAVO INTERNO, E NÃO ATRAVÉS DE OUTRA IMPETRAÇÃO. HABEAS CORPUS NÃO CONHECIDO.    1. Esta Corte firmou a orientação do não cabimento de habeas corpus contra ato de Ministro Relator ou contra decisão colegiada de Turma ou do Plenário do próprio Tribunal, independentemente de tal decisão haver sido proferida em sede de habeas corpus ou proferida em sede de recursos em geral (Súmula 606).    2. É legítima a decisão monocrática de Relator que nega seguimento a habeas corpus manifestamente inadmissível, por expressa permissão do art. 38 da Lei 8.038/1990 e do art. 21, § 1º, do RISTF. O caminho natural e adequado para, nesses casos, provocar a manifestação do colegiado é o agravo interno (art. 39 da Lei 8.038/1990 e art. 317 do RISTF), e não outro habeas corpus.     3. Habeas corpus não conhecido.
HC 93815;GILMAR MENDES;06/05/2013;04/04/2013;Tribunal Pleno;Habeas corpus. Roubo. Condenação. 2. Pedido de afastamento da reincidência, ao argumento de inconstitucionalidade. Bis in idem. 3. Reconhecida a constitucionalidade da reincidência como agravante da pena (RE 453.000/RS). 4. O aumento pela reincidência está de acordo com o princípio da individualização da pena. Maior reprovabilidade ao agente que reitera na prática delitiva. 5. Ordem denegada.
HC 92932;RICARDO LEWANDOWSKI;25/09/2013;07/03/2013;Tribunal Pleno;Ementa: HABEAS CORPUS. PROCESSUAL PENAL. ART. 225 CP. LEGITIMIDADE DO MINISTÉRIO PÚBLICO PARA PROPOR AÇÃO EM CRIMES CONTRA OS COSTUMES, NOS CASOS ESPECIFICADOS EM LEI. LIBERDADE PROVISÓRIA. ESTUPRO. CRIME HEDIONDO. VEDAÇÃO CONSTIUCIONAL. INAFIANÇABILIDADE. ART. 5º, XLIII E LXVI, DA CONSTITUIÇÃO FEDERAL. PRECEDENTES.     I – Não se pode conhecer, em sede de habeas corpus, de matéria que demanda o revolvimento de fatos e provas.    II – Também não pode ser conhecida matéria que não haja sido apreciada pelo Superior Tribunal de Justiça, sob pena de supressão de instância.    III – Nos crimes contra os costumes, caracterizada a pobreza da vítima, a ação penal passa a ser pública condicionada, sendo o Ministério Público legitimado para sua propositura.    IV – A vedação de liberdade provisória para crimes hediondos e delitos assemelhados provém da própria Constituição, que prevê sua inafiançabilidade (art. 5º, XLIII e XLIV).    V – Não se pode conceder efeito suspensivo aos recursos de natureza especial e extraordinária, quando o paciente esteja segregado cautelarmente.    VI – Writ conhecido em parte e, na parte conhecida, denegado.
HC 100172;DIAS TOFFOLI;25/09/2013;21/02/2013;Tribunal Pleno;EMENTA    Habeas corpus. Constitucional. Processual Penal. Crimes de exploração de prestígio (art. 357 do CP), tráfico de influência (art. 332 do CP), corrupção ativa (art. 333 do CP), fraude processual (art. 347 do CP) e quadrilha ou bando (art. 288 do CP). Nulidades aventadas no curso do procedimento inquisitorial supostamente praticadas no âmbito do Tribunal Regional Federal da 3ª Região. Questões não analisadas no Superior Tribunal de Justiça. Pretendido exame per saltum. Inadmissível supressão de instância. Precedentes. Alegada falta de motivação da decisão proferida no âmbito do Superior Tribunal de Justiça, a qual autorizou a 7ª prorrogação das escutas telefônicas pelo prazo de 30 dias consecutivos, o que estaria em desacordo com a lei de regência. Legitimidade da Corte para sua análise. Licitude da decisão de prorrogação. Precedentes. Trancamento da ação penal. Medida excepcional não demonstrada no caso. Conhecimento parcial da ordem. Ordem denegada.    1. Os atos praticados no âmbito do Tribunal Regional Federal da 3ª Região e impugnados no presente habeas corpus não ensejam conhecimento per saltum por esta Suprema Corte, porquanto não apreciados pelo Superior Tribunal Justiça, importando na ocorrência de supressão de instância e de grave violação das regras de competência previstas na Constituição da República.    2. A 7ª prorrogação das escutas telefônicas, por ter sido autorizada no âmbito do Superior Tribunal de Justiça, legitima esta Corte para sua análise. Entretanto, inexiste, na espécie, ausência de motivação da decisão que a implementou, pois, segundo a jurisprudência deste Supremo Tribunal, “as decisões que, como no presente caso, autorizam a prorrogação de interceptação telefônica sem acrescentar novos motivos evidenciam que essa prorrogação foi autorizada com base na mesma fundamentação exposta na primeira decisão que deferiu o monitoramento” (HC nº 92.020/DF, Segunda Turma, Relator o Ministro Joaquim Barbosa, DJe de 8/11/10).    3. O trancamento da ação penal na via do habeas corpus é medida excepcional, justificando-se quando despontar, fora de dúvida, atipicidade da conduta, causa extintiva da punibilidade ou ausência de indícios de autoria, o que não ocorre na espécie.    4. Conhecimento parcial da ordem. Ordem denegada.
HC 101985;MARCO AURÉLIO;21/02/2014;07/02/2013;Tribunal Pleno;HABEAS CORPUS – PREJUÍZO. Chegando ao Tribunal o recurso ordinário interposto contra o acórdão atacado mediante o habeas corpus, dá-se o prejuízo deste.
HC 99945 AgR;MARCO AURÉLIO;21/02/2014;07/02/2013;Tribunal Pleno;Agravo regimental em habeas corpus. 2. Decisão impugnada que negou seguimento ao writ, ao fundamento de que a via eleita não se mostra adequada ao intento perseguido, ou seja, sanar eventual inconformismo com sentença desfavorável em disputa de guarda de menor. 3. O habeas corpus não é sucedâneo de recurso cabível, não sendo, por esse meio, de pretender-se a solução de questão relativa à guarda de filhos (HC 81.681/RS, rel. Min. Néri da Silveira, DJ 29.8.2003). Precedentes. 4. Ausência de constrangimento ilegal. Agravo a que se nega provimento.
HC 103604;MARCO AURÉLIO;08/03/2013;07/02/2013;Tribunal Pleno;HABEAS CORPUS – PERDA DE OBJETO – CUSTÓDIA – EXTRADIÇÃO. Uma vez ocorrido o julgamento do processo revelador da extradição, ficando assentada a legitimidade do pedido formalizado, impõe-se a declaração de prejuízo de habeas corpus voltado contra a ordem de custódia provisória.
HC 102745 AgR;GILMAR MENDES;10/05/2013;06/02/2013;Tribunal Pleno;Agravo regimental em habeas corpus. 2. Impetração contra decisão de ministro do Supremo Tribunal Federal. Negativa de seguimento ao writ. 3. Decisão recorrida em sintonia com a jurisprudência da Corte. Súmula 606. 4. Agravo a que se nega provimento.
HC 113204 AgR;DIAS TOFFOLI;28/02/2013;31/10/2012;Tribunal Pleno;EMENTA    Agravo regimental em habeas corpus. Matéria criminal. Impetração dirigida contra decisão proferida por órgão fracionário deste Supremo Tribunal Federal. Inadmissibilidade. Incidência da Súmula nº 606/STF. Agravo não provido.    1. A jurisprudência da Suprema Corte firmou o entendimento de que “não cabe habeas corpus contra decisão proferida por qualquer de suas Turmas, as quais não se sujeitam à jurisdição do Plenário, pois quando julgam matéria de sua competência representam o Supremo Tribunal Federal” (HC nº 80.375/RS-AgR, Tribunal Pleno, Relator o Ministro Maurício Corrêa, DJ de 23/3/01).    2. Agravo regimental não provido.
HC 111840;DIAS TOFFOLI;17/12/2013;27/06/2012;Tribunal Pleno;EMENTA    Habeas corpus. Penal. Tráfico de entorpecentes. Crime praticado durante a vigência da Lei nº 11.464/07. Pena inferior a 8 anos de reclusão. Obrigatoriedade de imposição do regime inicial fechado. Declaração incidental de inconstitucionalidade do § 1º do art. 2º da Lei nº 8.072/90. Ofensa à garantia constitucional da individualização da pena (inciso XLVI do art. 5º da CF/88). Fundamentação necessária (CP, art. 33, § 3º, c/c o art. 59). Possibilidade de fixação, no caso em exame, do regime semiaberto para o início de cumprimento da pena privativa de liberdade. Ordem concedida.    1. Verifica-se que o delito foi praticado em 10/10/09, já na vigência da Lei nº 11.464/07, a qual instituiu a obrigatoriedade da imposição do regime inicialmente fechado aos crimes hediondos e assemelhados.    2. Se a Constituição Federal menciona que a lei regulará a individualização da pena, é natural que ela exista. Do mesmo modo, os critérios para a fixação do regime prisional inicial devem-se harmonizar com as garantias constitucionais, sendo necessário exigir-se sempre a fundamentação do regime imposto, ainda que se trate de crime hediondo ou equiparado.    3. Na situação em análise, em que o paciente, condenado a cumprir pena de seis (6) anos de reclusão, ostenta circunstâncias subjetivas favoráveis, o regime prisional, à luz do art. 33, § 2º, alínea b, deve ser o semiaberto.    4. Tais circunstâncias não elidem a possibilidade de o magistrado, em eventual apreciação das condições subjetivas desfavoráveis, vir a estabelecer regime prisional mais severo, desde que o faça em razão de elementos concretos e individualizados, aptos a demonstrar a necessidade de maior rigor da medida privativa de liberdade do indivíduo, nos termos do § 3º do art. 33, c/c o art. 59, do Código Penal.    5. Ordem concedida tão somente para remover o óbice constante do § 1º do art. 2º da Lei nº 8.072/90, com a redação dada pela Lei nº 11.464/07, o qual determina que “[a] pena por crime previsto neste artigo será cumprida inicialmente em regime fechado“. Declaração incidental de inconstitucionalidade, com efeito ex nunc, da obrigatoriedade de fixação do regime fechado para início do cumprimento de pena decorrente da condenação por crime hediondo ou equiparado.
HC 101284;DIAS TOFFOLI;27/08/2012;14/06/2012;Tribunal Pleno;EMENTA    Habeas corpus. Direito Penal. Tráfico de entorpecentes. Fixação de regime prisional inicial diverso do fechado. Pacientes no gozo de livramento condicional. Writ prejudicado.    1. O alegado constrangimento ilegal imposto aos pacientes, em decorrência do regime prisional inicialmente estabelecido, restou superado, em razão da progressão dos pacientes a regime mais abrandado e da concessão do benefício do livramento condicional.    2. Writ prejudicado.
HC 104339;GILMAR MENDES;06/12/2012;10/05/2012;Tribunal Pleno;Habeas corpus. 2. Paciente preso em flagrante por infração ao art. 33, caput, c/c 40, III, da Lei 11.343/2006. 3. Liberdade provisória. Vedação expressa (Lei n. 11.343/2006, art. 44). 4. Constrição cautelar mantida somente com base na proibição legal. 5. Necessidade de análise dos requisitos do art. 312 do CPP. Fundamentação inidônea. 6. Ordem concedida, parcialmente, nos termos da liminar anteriormente deferida.
HC 108261 EI-AgR;DIAS TOFFOLI;13/04/2012;15/03/2012;Tribunal Pleno;EMENTA    Agravo regimental nos embargos infringentes no habeas corpus. Não cabimento. Ausência de previsão legal. Precedentes. Regimental não provido.    1. Revelam-se manifestamente incabíveis os embargos infringentes opostos contra julgado de Turma ou de Plenário em sede de habeas corpus, tendo em vista a falta de previsão regimental.    2. Agravo regimental não provido.
HC 107325;MARCO AURÉLIO;30/05/2012;01/03/2012;Tribunal Pleno;EMENTA: HABEAS CORPUS. SUPOSTA COAÇÃO QUE PASSOU A SER DE MINISTRO DO SUPREMO TRIBUNAL FEDERAL EM RAZÃO DA DIPLOMAÇÃO DO PACIENTE COMO DEPUTADO FEDERAL. APLICAÇÃO DA SÚMULA N. 606 DO SUPREMO TRIBUNAL FEDERAL. INVIABILIDADE DA IMPETRAÇÃO. PRECEDENTES DO STF.     1. Não cabe habeas corpus para o Plenário contra ato de Ministro do Supremo Tribunal Federal.     2. Habeas corpus não conhecido.
HC 89965 AgR;CEZAR PELUSO (Presidente);07/02/2012;07/12/2011;Tribunal Pleno;Ementa: RECURSO. Agravo Regimental. Habeas Corpus. Decisão que não reconhece a existência de prevenção. Ato de mero expediente. Falta de lesividade. Ato processual insuscetível de causar gravame às partes. Incidência do art. 504 do CPC. Agravo regimental não conhecido. É inadmissível agravo regimental contra despacho que não reconhece a existência de prevenção.
HC 96238 AgR;DIAS TOFFOLI;08/11/2011;06/10/2011;Tribunal Pleno;EMENTA    Agravo regimental em habeas corpus. Impetração com finalidade de afastar a aplicação do enunciado da Súmula Vinculante nº 11. Inadequação da via eleita. Descabimento do writ para analisar questões alheias à privação da liberdade de locomoção. Precedentes. Regimental não provido.    1. O habeas corpus tem previsão constitucional para aquele que sofre ou se acha ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder (art. 5º, inciso LXVIII, da Constituição Federal).    2. A impetração, tal como posta nos autos, tem a finalidade afastar a aplicação do enunciado da Súmula Vinculante nº 11, não havendo previsão legal para a concessão da ordem nesses termos, pois totalmente alheia à sua previsão constitucional.    3. Agravo regimental não provido.
HC 99743;MARCO AURÉLIO;21/08/2012;06/10/2011;Tribunal Pleno;Ementa: Penal Militar. Habeas corpus. Deserção – CPM, art. 187. Crime militar próprio. Suspensão condicional do processo - art. 90-A, da Lei n. 9.099/95 – Lei dos Juizados Especiais Cíveis e Criminais. Inaplicabilidade, no âmbito da Justiça Militar. Constitucionalidade, face ao art. 98, inciso I, § 1º, da Carta da República. Obiter dictum: inconstitucionalidade da norma em relação a civil processado por crime militar.     O art. 90-A, da n. 9.099/95 - Lei dos Juizados Especiais Cíveis e Criminais -, com a redação dada pela Lei n. 9.839/99, não afronta o art. 98, inciso I, § 1º, da Carta da República no que veda a suspensão condicional do processo ao militar processado por crime militar.    In casu, o pedido e a causa de pedir referem-se apenas a militar responsabilizado por crime de deserção, definido como delito militar próprio, não alcançando civil processado por crime militar.    Obiter dictum: inconstitucionalidade da norma que veda a aplicação da Lei n. 9.099 ao civil processado por crime militar.    Ordem denegada.
HC 109604 AgR;RICARDO LEWANDOWSKI;25/10/2011;22/09/2011;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. WRIT IMPETRADO CONTRA ATO DE MINISTRO RELATOR DE AÇÃO PENAL DO SUPREMO TRIBUNAL FEDERAL. NÃO CABIMENTO. PRECEDENTES DO STF. AGRAVO REGIMENTAL IMPROVIDO.    I – Esta Corte já firmou jurisprudência no sentido de não caber habeas corpus contra ato de Ministro Relator, de Turma, ou do próprio Tribunal Pleno. Precedentes.    II - Para impugnar ato do Relator que a parte entenda prejudicial ao seu direito, o Regimento Interno do STF prevê, em seu artigo 317, o recurso de agravo regimental.    III - Agravo regimental em habeas corpus improvido.
HC 109133 AgR;RICARDO LEWANDOWSKI;17/10/2011;15/09/2011;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL. HABEAS CORPUS. NEGATIVA DE SEGUIMENTO. IMPETRAÇÃO VOLTADA CONTRA ATO DE MINISTRO DESTA CORTE EM AGRAVO DE INSTRUMENTO CRIMINAL. IMPOSSIBILIDADE. FUNDAMENTOS DA DECISÃO AGRAVADA NÃO IMPUGNADOS. INVIABILIDADE DO RECURSO. POSSIBILIDADE DE O RELATOR NEGAR SEGUIMENTO A PEDIDO MANIFESTAMENTE INADMISSÍVEL. ART. 21, § 1º, RISTF. AGRAVO IMPROVIDO.    I – A jurisprudência deste Tribunal assentou-se no sentido de que não é cabível a impetração de habeas corpus contra ato jurisdicional do próprio Supremo Tribunal Federal, de Relator ou do Colegiado.    II – O agravante deixou de atacar os fundamentos expostos na decisão agravada. Como se sabe, incumbe ao agravante o dever de impugnar, de forma específica, cada um dos fundamentos da decisão questionada, sob pena de não conhecimento do recurso.    III – O próprio Regimento Interno do STF autoriza ao Relator do processo “negar seguimento a pedido ou recurso manifestamente inadmissível, improcedente ou contrário à jurisprudência dominante ou a Súmula do Tribunal” (art. 21, § 1º), sem que isso configure usurpação da competência do Plenário ou das Turmas.    IV – Agravo regimental improvido.
HC 105000 ED;DIAS TOFFOLI;25/08/2011;12/05/2011;Tribunal Pleno;EMENTA    Embargos de declaração em habeas corpus. Matéria criminal. Conversão dos embargos declaratórios em agravo regimental. Princípio da fungibilidade. Impetração dirigida contra decisão proferida por Turma do STF. Inadmissibilidade. Súmula nº 606/STF. Agravo não provido.    1. Embargos de declaração recebidos como agravo regimental.    2. A jurisprudência da Suprema Corte firmou entendimento no sentido de que “não cabe habeas corpus contra decisão proferida por qualquer de suas Turmas, as quais não se sujeitam à jurisdição do Plenário, pois quando julgam matéria de sua competência representam o Supremo Tribunal Federal” (HC nº 80.375/RS-AgR, Tribunal Pleno, Relator o Ministro Maurício Corrêa, DJ de 23/3/01).    3. Agravo regimental não provido.
HC 96954 AgR;AYRES BRITTO;08/06/2011;12/05/2011;Tribunal Pleno;"EMENTA : AGRAVO   REGIMENTAL . HABEAS   CORPUS. PROCESSUAL   PENAL . CUMPRIMENTO , AINDA   QUE   EM   CAR ÁTER PROVIS ÓRIO, DA   PENA   PRIVATIVA   DE   LIBERDADE . IMPETRA Ç ÃO DIRIGIDA   CONTRA   AC ÓRDÃO DE   TURMA   DO   SUPREMO   TRIBUNAL   FEDERAL . INCID ÊNCIA DAS   S ÚMULAS 695 E 606. NEGATIVA   DE   SEGUIMENTO   DO   WRIT . DUPLA   FUNDAMENTA Ç ÃO. DECIS ÃO RECORRIDA   EM   SINTONIA   COM   A   JURISPRUD ÊNCIA DESTA   CASA   DE   JUSTI ÇA. AGRAVO   DESPROVIDO . 1. Nos termos da Súmula 695 do Supremo Tribunal Federal, “não cabe habeas corpus quando já extinta a pena privativa de liberdade”. 2. De mais a mais, este Excelso Pretório firmou a orientação do não-cabimento da impetração de habeas corpus contra ato de Ministro Relator ou contra decisão colegiada de Turma ou do Plenário do próprio Tribunal, independentemente de tal decisão haver sido proferida em sede de habeas corpus ou proferida em sede de recursos em geral. (Cf. Súmula 606; HC 100.738/RJ, Tribunal Pleno, redatora para o acórdão a ministra Cármen Lúcia, DJ 01/07/2010; HC 101.432/MG, Tribunal Pleno, redator para o acórdão o ministro Dias Toffoli, DJ 16/04/2010; HC 88.247-AgR-AgR/RJ, Tribunal Pleno, da relatoria do ministro Celso de Mello, DJ 20/11/2009; HC 91.020-AgR/MG, Tribunal Pleno, da relatoria do ministro Celso de Mello, DJ 03/04/2009; HC 86.548/SP, Tribunal Pleno, da relatoria do ministro Cezar Peluso, DJ 19/12/2008.) 3. Agravo regimental desprovido."
HC 104843 AgR;AYRES BRITTO;02/12/2011;12/05/2011;Tribunal Pleno;"EMENTA: HABEAS CORPUS. ATO DE MINISTRO DO SUPREMO TRIBUNAL FEDERAL. PEDIDO NÃO CONHECIDO. PRECEDENTES DO PLENÁRIO DO SUPREMO TRIBUNAL FEDERAL. APLICAÇÃO ANALÓGICA DA SÚMULA 606/STF. AUSÊNCIA DE ILEGALIDADE FLAGRANTE OU ABUSO DE PODER QUE AUTORIZE A CONCESSÃO DA ORDEM DE OFÍCIO. PRISÃO PREVENTIVA PARA A EXTRADIÇÃO REGULARMENTE FUNDAMENTADA. AGRAVO DESPROVIDO.    1. É pacífica a jurisprudência desta Casa de Justiça, no sentido do não cabimento de habeas corpus contra decisão de ministro do Supremo Tribunal Federal. Aplicação analógica do óbice da Súmula 606/STF. Precedente específico: HC 86.548, da relatoria do ministro Cezar Peluso. Outros precedentes: HC 100.738, redatora para o acórdão a ministra Cármen Lúcia; HC 101.432, redator para o acórdão o ministro Dias Toffoli; HC 99.510-AgR, da relatoria do ministro Cezar Peluso.     2. Também não é caso de concessão da ordem de ofício. Isso porque a simples leitura do ato impugnado evidencia que a prisão preventiva, para fins de extradição, encontra-se regularmente fundamentada.    3. Agravo regimental a que se nega provimento."
